organism
Mayetiola destructor
Phlebotomus papatasi
Lutzomyia longipalpis
Culicoides sonorensis
Dasyhelea calycata
Polypedilum vanderplanki
Polypedilum nubifer
Clunio marinus
Belgica antarctica
Culex quinquefasciatus
Aedes albopictus
Aedes aegypti
Anopheles darlingi
Anopheles albimanus
Anopheles sinensis
Anopheles atroparvus
Anopheles maculatus
Anopheles stephensi
Anopheles farauti
Anopheles dirus
Anopheles epiroticus
Anopheles christyi
Anopheles gambiae
Anopheles culicifacies
Anopheles minimus
Anopheles funestus
Lucilia cuprina
Stomoxys calcitrans
Musca domestica
Glossina brevipalpis
Glossina palpalis
Glossina austeni
Glossina morsitans
Rhagoletis zephyria
Ceratitis capitata
Zeugodacus cucurbitae
Bactrocera latifrons
Bactrocera oleae
Drosophila grimshawi
Drosophila busckii
Drosophila virilis
Drosophila hydei
Drosophila mojavensis
Drosophila willistoni
Drosophila obscura
Drosophila pseudoobscura
Drosophila elegans
Drosophila serrata
Drosophila eugracilis
Drosophila ficusphila
Drosophila takahashii
Drosophila biarmipes
Drosophila rhopaloa
Drosophila bipectinata
Drosophila ananassae
Drosophila erecta
Drosophila yakuba
Drosophila melanogaster
